accepted_count,average_reward,average_turns,candidate_count,episodes,invalid_move_rate,method,rejected_count,repetition,split,success_rate
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_no_gate,0,0,train,0.18461538461538463
10,0.562406187250894,10.415384615384616,40,130,0.0,textgrad_rl_no_gate,30,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_train_val,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_rl_train_val,34,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_kl_gate,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_rl_kl_gate,34,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_clipped_surrogate,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_rl_clipped_surrogate,34,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_ppo,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_rl_ppo,34,0,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_no_gate,0,1,train,0.2
10,0.5790213755697836,10.023076923076923,40,130,0.0,textgrad_rl_no_gate,30,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_train_val,0,1,train,0.2
6,0.5853208031420997,10.023076923076923,40,130,0.0,textgrad_rl_train_val,34,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_kl_gate,0,1,train,0.2
7,0.5790213755697836,10.023076923076923,40,130,0.0,textgrad_rl_kl_gate,33,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_clipped_surrogate,0,1,train,0.2
7,0.5790213755697836,10.023076923076923,40,130,0.0,textgrad_rl_clipped_surrogate,33,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_ppo,0,1,train,0.2
6,0.5853208031420997,10.023076923076923,40,130,0.0,textgrad_rl_ppo,34,1,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_no_gate,0,2,train,0.18461538461538463
10,0.5628811231976181,10.492307692307692,40,130,0.0,textgrad_rl_no_gate,30,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_train_val,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_rl_train_val,34,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_kl_gate,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_rl_kl_gate,34,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_clipped_surrogate,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_rl_clipped_surrogate,34,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_ppo,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_rl_ppo,34,2,test,0.6153846153846154
