ci_high,ci_low,mean,method,metric,n
0.6397557984377251,0.5186016922557026,0.5809234081599447,textgrad_rl_clipped_surrogate,reward,390
0.6615384615384615,0.5666666666666667,0.6153846153846154,textgrad_rl_clipped_surrogate,success,390
0.0,0.0,0.0,textgrad_rl_clipped_surrogate,invalid_move,390
10.723076923076922,9.62051282051282,10.156410256410256,textgrad_rl_clipped_surrogate,turns,390
0.6407354781213337,0.5164637274465017,0.5809234081599447,textgrad_rl_kl_gate,reward,390
0.658974358974359,0.5666666666666667,0.6153846153846154,textgrad_rl_kl_gate,success,390
0.0,0.0,0.0,textgrad_rl_kl_gate,invalid_move,390
10.748717948717948,9.576923076923077,10.156410256410256,textgrad_rl_kl_gate,turns,390
0.6290214097817357,0.5036325009842995,0.5681028953394319,textgrad_rl_no_gate,reward,390
0.658974358974359,0.5666666666666667,0.6153846153846154,textgrad_rl_no_gate,success,390
0.0,0.0,0.0,textgrad_rl_no_gate,invalid_move,390
10.907692307692308,9.717948717948717,10.310256410256411,textgrad_rl_no_gate,turns,390
0.6445800696098396,0.5208796519006995,0.5830232173507167,textgrad_rl_ppo,reward,390
0.6641025641025641,0.5692307692307692,0.6153846153846154,textgrad_rl_ppo,success,390
0.0,0.0,0.0,textgrad_rl_ppo,invalid_move,390
10.705128205128204,9.561538461538461,10.156410256410256,textgrad_rl_ppo,turns,390
0.6392080269774527,0.5208154424869853,0.5830232173507167,textgrad_rl_train_val,reward,390
0.6641025641025641,0.5666666666666667,0.6153846153846154,textgrad_rl_train_val,success,390
0.0,0.0,0.0,textgrad_rl_train_val,invalid_move,390
10.761538461538462,9.582051282051282,10.156410256410256,textgrad_rl_train_val,turns,390
