accepted_count,average_reward,average_turns,candidate_count,episodes,invalid_move_rate,method,rejected_count,repetition,split,success_rate
0,0.18025880247193019,12.13076923076923,0,130,0.11538461538461539,fixed_prompt,0,0,test,0.2153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,modular_textgrad,0,0,train,0.18461538461538463
0,0.1511551131810985,12.276923076923078,1,65,0.1076923076923077,modular_textgrad,0,0,val_old,0.16923076923076924
1,0.5683773354033208,10.923076923076923,1,65,0.0,modular_textgrad,0,0,val_candidate,0.6153846153846154
1,0.562406187250894,10.723076923076922,1,130,0.0,modular_textgrad,0,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_rl_plus,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,30,130,0.0,textgrad_rl_plus,24,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_policy_iteration,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_policy_iteration,34,0,test,0.6153846153846154
0,0.19631390922629882,12.061538461538461,0,130,0.1076923076923077,fixed_prompt,0,1,test,0.2
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,modular_textgrad,0,1,train,0.2
0,0.16492955505494816,11.907692307692308,1,65,0.1076923076923077,modular_textgrad,0,1,val_old,0.23076923076923078
1,0.5504851106105038,10.723076923076922,1,65,0.0,modular_textgrad,0,1,val_candidate,0.6153846153846154
1,0.5622438800651766,10.6,1,130,0.0,modular_textgrad,0,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_rl_plus,0,1,train,0.2
6,0.5853208031420997,10.023076923076923,30,130,0.0,textgrad_rl_plus,24,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_policy_iteration,0,1,train,0.2
6,0.5853208031420997,10.023076923076923,40,130,0.0,textgrad_policy_iteration,34,1,test,0.6153846153846154
0,0.17867621991376748,12.0,0,130,0.09230769230769231,fixed_prompt,0,2,test,0.2
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,modular_textgrad,0,2,train,0.18461538461538463
0,0.1826383688171008,12.123076923076923,1,65,0.12307692307692308,modular_textgrad,0,2,val_old,0.18461538461538463
1,0.5770658271252449,10.738461538461538,1,65,0.0,modular_textgrad,0,2,val_candidate,0.6153846153846154
1,0.5628811231976181,10.8,1,130,0.0,modular_textgrad,0,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_rl_plus,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,30,130,0.0,textgrad_rl_plus,24,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_policy_iteration,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_policy_iteration,34,2,test,0.6153846153846154
