suite,method,source,target,episodes,success_rate,avg_reward,invalid_action_rate,repeated_action_rate,avg_turns,external_score,accepted_updates
tau_transfer,fixed_policy,tau-retail,tau-airline+tau-banking,6,0.0,0.325,0.8333333333333334,0.0,10.666666666666666,-0.09366666666666668,0
tau_transfer,textgrad_rl,tau-retail,tau-airline+tau-banking,6,0.8333333333333334,0.9666666666666667,0.0,0.0,6.333333333333333,1.3813333333333333,1
