ci_high,ci_low,mean,method,metric,n
0.24526760386673965,0.11827366791705446,0.1850829772039988,fixed_prompt,reward,390
0.24615384615384617,0.16153846153846155,0.20512820512820512,fixed_prompt,success,390
0.13846153846153847,0.07435897435897436,0.10512820512820513,fixed_prompt,invalid_move,390
12.648717948717948,11.415384615384616,12.064102564102564,fixed_prompt,turns,390
0.6381835544518659,0.5235651933239701,0.5830232173507167,textgrad_policy_iteration,reward,390
0.6615384615384615,0.5692307692307692,0.6153846153846154,textgrad_policy_iteration,success,390
0.0,0.0,0.0,textgrad_policy_iteration,invalid_move,390
10.725641025641025,9.607692307692307,10.156410256410256,textgrad_policy_iteration,turns,390
0.638639108947896,0.5196451851023574,0.5830232173507167,textgrad_ppo,reward,390
0.6641025641025641,0.5692307692307692,0.6153846153846154,textgrad_ppo,success,390
0.0,0.0,0.0,textgrad_ppo,invalid_move,390
10.74102564102564,9.569230769230769,10.156410256410256,textgrad_ppo,turns,390
