accepted,average_reward,average_turns,draws,games,gradient_count,invalid_move_rate,iteration,losses,non_loss_rate,split,variant,win_rate,wins
,0.11875,7.025,43,160,,0.0,0,49,0.69375,test,no_textgrad,0.425,68
True,0.11875,6.98125,43,160,2,0.0,1,49,0.69375,train,textgrad_rl,0.425,68
True,0.725,6.8,42,160,2,0.0,1,1,0.99375,val,textgrad_rl,0.73125,117
False,0.7375,6.7625,42,160,1,0.0,2,0,1.0,train,textgrad_rl,0.7375,118
False,0.71875,6.825,43,160,1,0.0,2,1,0.99375,val,textgrad_rl,0.725,116
,0.75,6.6875,40,160,,0.0,2,0,1.0,test,textgrad_rl,0.75,120
