accepted,average_reward,average_turns,episodes,gradient_count,invalid_move_rate,method,repetition,split,success_rate
False,0.18390856196669897,12.23076923076923,26,0,0.11538461538461539,fixed_prompt,0,test,0.23076923076923078
False,0.18397435897435896,11.461538461538462,13,0,0.07692307692307693,scalar_prompt_search,0,train,0.23076923076923078
False,0.1295235081823012,12.23076923076923,13,0,0.07692307692307693,scalar_prompt_search,0,val_old,0.15384615384615385
True,0.1295235081823012,12.23076923076923,13,0,0.07692307692307693,scalar_prompt_search,0,val_candidate,0.15384615384615385
True,0.18390856196669897,12.23076923076923,26,0,0.11538461538461539,scalar_prompt_search,0,test,0.23076923076923078
False,0.18397435897435896,11.461538461538462,13,0,0.07692307692307693,monolithic_textgrad,0,train,0.23076923076923078
False,0.1295235081823012,12.23076923076923,13,9,0.07692307692307693,monolithic_textgrad,0,val_old,0.15384615384615385
True,0.567344021002814,11.76923076923077,13,9,0.0,monolithic_textgrad,0,val_candidate,0.5384615384615384
True,0.5631210161791531,11.153846153846153,26,9,0.0,monolithic_textgrad,0,test,0.6153846153846154
False,0.18397435897435896,11.461538461538462,13,0,0.07692307692307693,modular_textgrad,0,train,0.23076923076923078
False,0.1295235081823012,12.23076923076923,13,9,0.07692307692307693,modular_textgrad,0,val_old,0.15384615384615385
True,0.567344021002814,11.76923076923077,13,9,0.0,modular_textgrad,0,val_candidate,0.5384615384615384
True,0.5631210161791531,11.153846153846153,26,9,0.0,modular_textgrad,0,test,0.6153846153846154
False,0.18397435897435896,11.461538461538462,13,0,0.07692307692307693,no_acceptance_gate,0,train,0.23076923076923078
True,0.5631210161791531,11.153846153846153,26,9,0.0,no_acceptance_gate,0,test,0.6153846153846154
