ci_high,ci_low,mean,method,metric,n
0.42108804914618614,-0.0695970695970696,0.18390856196669897,fixed_prompt,reward,26
0.38461538461538464,0.07692307692307693,0.23076923076923078,fixed_prompt,success,26
0.23076923076923078,0.0,0.11538461538461539,fixed_prompt,invalid_move,26
14.461538461538462,9.923076923076923,12.23076923076923,fixed_prompt,turns,26
0.7777957332150698,0.3185497246659987,0.5631210161791531,modular_textgrad,reward,26
0.8076923076923077,0.4230769230769231,0.6153846153846154,modular_textgrad,success,26
0.0,0.0,0.0,modular_textgrad,invalid_move,26
13.653846153846153,8.961538461538462,11.153846153846153,modular_textgrad,turns,26
0.7861979392560763,0.31102017491698525,0.5631210161791531,monolithic_textgrad,reward,26
0.8076923076923077,0.4230769230769231,0.6153846153846154,monolithic_textgrad,success,26
0.0,0.0,0.0,monolithic_textgrad,invalid_move,26
13.73076923076923,8.76923076923077,11.153846153846153,monolithic_textgrad,turns,26
0.7861979392560763,0.30212969504609605,0.5631210161791531,no_acceptance_gate,reward,26
0.8076923076923077,0.4230769230769231,0.6153846153846154,no_acceptance_gate,success,26
0.0,0.0,0.0,no_acceptance_gate,invalid_move,26
13.576923076923077,8.923076923076923,11.153846153846153,no_acceptance_gate,turns,26
0.4197802197802198,-0.05665882082308314,0.18390856196669897,scalar_prompt_search,reward,26
0.4230769230769231,0.07692307692307693,0.23076923076923078,scalar_prompt_search,success,26
0.23076923076923078,0.0,0.11538461538461539,scalar_prompt_search,invalid_move,26
14.461538461538462,10.0,12.23076923076923,scalar_prompt_search,turns,26
