method,env_id,category,support_group,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns,breakdown,slice,value,envs,task_success_rate,invalid_browser_action_rate,avg_turns,invalid_action_rate,games
fixed_prompt,FrozenLake-v0-hardcore,planning,supported_policy_family,3,0.4166666666666667,0.0,0.3333333333333333,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,FrozenLake-v0-random,planning,supported_policy_family,3,0.0,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,GameOfPureStrategy-v0,social_game,generic_fallback,6,0.0,0.5,0.5,1.0,16.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,GermanWhist-v0,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,GuessTheNumber-v0,deduction,supported_policy_family,3,0.7894736842105262,0.0,0.0,0.0,11.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,GuessTheNumber-v0-hardcore,deduction,supported_policy_family,3,0.6190476190476191,0.0,0.0,0.0,11.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Hangman-v0,language_puzzle,generic_fallback,3,0.5634920634920635,0.0,0.3333333333333333,0.3333333333333333,9.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Hangman-v0-hardcore,language_puzzle,generic_fallback,3,0.7450142450142451,0.0,1.0,1.0,12.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,IteratedPrisonersDilemma-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,40.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,IteratedRockPaperScissors-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,18.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,KuhnPoker-v0-short,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,5.666666666666667,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,LightsOut-v0,puzzle,supported_policy_family,3,-0.15384615384615385,0.0,0.0,1.0,20.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,LogicPuzzle-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,LogicPuzzle-v0-hard,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Mastermind-v0,deduction,supported_policy_family,3,0.5833333333333334,0.0,1.0,1.0,5.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Mastermind-v0-hard,deduction,supported_policy_family,3,0.375,0.0,1.0,1.0,5.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Minesweeper-v0-small,puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Nim-v0,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,12.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Nim-v0-medium,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,16.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,PegJump-v0,puzzle,generic_fallback,3,0.0714285714285714,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,ReverseTicTacToe-v0,board_game,supported_policy_family,6,0.0,0.0,0.0,0.0,9.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,RushHour-v0,planning,generic_fallback,3,0.25,0.0,1.0,0.3333333333333333,3.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Secretary-v0,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Secretary-v0-long,stochastic_decision,generic_fallback,3,0.0,0.0,1.0,0.0,0.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Sudoku-v0-very-easy,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,TowerOfHanoi-v0,planning,supported_policy_family,3,0.0,0.0,0.0,1.0,15.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,TowerOfHanoi-v0-medium,planning,supported_policy_family,3,0.0,0.0,0.0,1.0,31.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,WordLadder-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,WordSearch-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
fixed_prompt,Wordle-v0,language_puzzle,generic_fallback,3,0.13333333333333333,0.0,1.0,1.0,8.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,2048-v0-3x3,puzzle,generic_fallback,3,0.0029312785109156074,0.0,1.0,1.0,8.333333333333334,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,2048-v0-mega-easy,puzzle,generic_fallback,3,0.04917114695340502,0.0,1.0,1.0,7.333333333333333,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,2048-v0-super-easy,puzzle,generic_fallback,3,0.024443342151675485,0.0,1.0,1.0,7.333333333333333,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,2048-v0-ultra-easy,puzzle,generic_fallback,3,0.09953703703703705,0.0,1.0,1.0,7.333333333333333,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,2048-v0-very-easy,puzzle,generic_fallback,3,0.01218695319335083,0.0,1.0,1.0,7.333333333333333,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Alquerque-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,3.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Bandit-v0,stochastic_decision,supported_policy_family,3,0.2620123154715635,0.0,0.0,1.0,21.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Bandit-v0-hard,stochastic_decision,supported_policy_family,3,0.22358462371953228,0.0,0.0,1.0,41.0,TextArena Broad 50 per-env,,,,,,,,
