accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,-0.3333333333333333,-0.4166666666666666,16.666666666666668,3,0.3333333333333333,fixed_prompt_slm,test,0.3333333333333333,social,0.0
False,0.0,-0.08333333333333327,16.666666666666668,3,0.3333333333333333,textgrad_policy_iteration_slm,train,0.3333333333333333,social,0.0
False,-0.3333333333333333,-0.25499999999999995,17.666666666666668,3,0.0,textgrad_policy_iteration_slm,train_candidate,0.3333333333333333,social,0.0
False,-0.3333333333333333,-0.4166666666666666,16.666666666666668,3,0.3333333333333333,textgrad_policy_iteration_slm,val_old,0.3333333333333333,social,0.0
False,-0.6666666666666666,-0.9183333333333333,17.0,3,0.3333333333333333,textgrad_policy_iteration_slm,val_candidate,0.0,social,0.0
False,0.0,-0.08333333333333327,16.666666666666668,3,0.3333333333333333,textgrad_policy_iteration_slm,test,0.3333333333333333,social,0.0
False,0.0,-0.08333333333333327,16.666666666666668,3,0.3333333333333333,textgrad_ppo_slm,train,0.3333333333333333,social,0.0
False,0.0,-0.08333333333333329,16.666666666666668,3,0.3333333333333333,textgrad_ppo_slm,train_candidate,0.3333333333333333,social,0.0
False,-0.3333333333333333,-0.4166666666666666,16.666666666666668,3,0.3333333333333333,textgrad_ppo_slm,val_old,0.3333333333333333,social,0.0
False,-0.3333333333333333,-0.4166666666666666,16.666666666666668,3,0.3333333333333333,textgrad_ppo_slm,val_candidate,0.3333333333333333,social,0.0
False,-0.3333333333333333,-0.4166666666666666,16.666666666666668,3,0.3333333333333333,textgrad_ppo_slm,test,0.3333333333333333,social,0.0
