ci_high,ci_low,mean,method,metric,n
0.24526760386673965,0.11827366791705446,0.1850829772039988,fixed_prompt,reward,390
0.24615384615384617,0.16153846153846155,0.20512820512820512,fixed_prompt,success,390
0.13846153846153847,0.07435897435897436,0.10512820512820513,fixed_prompt,invalid_move,390
12.648717948717948,11.415384615384616,12.064102564102564,fixed_prompt,turns,390
0.6225183667885985,0.503077357010123,0.5625103968378962,modular_textgrad,reward,390
0.6615384615384615,0.5666666666666667,0.6153846153846154,modular_textgrad,success,390
0.0,0.0,0.0,modular_textgrad,invalid_move,390
11.341025641025642,10.03076923076923,10.707692307692307,modular_textgrad,turns,390
0.6232546685202104,0.5000563047763992,0.5625103968378962,monolithic_textgrad,reward,390
0.658974358974359,0.5666666666666667,0.6153846153846154,monolithic_textgrad,success,390
0.0,0.0,0.0,monolithic_textgrad,invalid_move,390
11.36923076923077,10.035897435897436,10.707692307692307,monolithic_textgrad,turns,390
0.6216087353363661,0.4987094047017296,0.5625103968378962,no_acceptance_gate,reward,390
0.6615384615384615,0.5666666666666667,0.6153846153846154,no_acceptance_gate,success,390
0.0,0.0,0.0,no_acceptance_gate,invalid_move,390
11.310256410256411,10.061538461538461,10.707692307692307,no_acceptance_gate,turns,390
0.24477852715898438,0.12378919172261037,0.1850829772039988,scalar_prompt_search,reward,390
0.24615384615384617,0.16666666666666666,0.20512820512820512,scalar_prompt_search,success,390
0.13333333333333333,0.07179487179487179,0.10512820512820513,scalar_prompt_search,invalid_move,390
12.669230769230769,11.474358974358974,12.064102564102564,scalar_prompt_search,turns,390
